nome,genero,data_nascimento,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presença_comissao,ausencia_justificada_comissao,ausencia_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,salario_bruto_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem,avatar
JOSE AUGUSTO ROSA,M,04/10/1966,85 dias,3 dias,4 dias,29 reuniões,2 reuniões,39 reuniões,292087.06,32590.99,30742.36,42982.94,38181.18,46093.18,19473.47,21678.43,15614.72,14321.17,29916.55,492.07,NaN,422362.27,1109989.13,32590.99,30742.36,42982.94,38181.18,46093.18,19473.47,21678.43,15614.72,14321.17,29916.55,492.07,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/178829.jpg
GUILHERME MURARO DERRITE,M,10/10/1984,90 dias,0 dias,2 dias,21 reuniões,0 reuniões,0 reuniões,311577.86,33369.05,45785.15,42375.69,37535.61,31336.58,34084.37,31084.94,27610.7,13235.82,15159.95,0.0,NaN,407478.82999999996,1087142.69,33369.05,45785.15,42375.69,37535.61,31336.58,34084.37,31084.94,27610.7,13235.82,15159.95,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204531.jpg
JOÃO BOSCO GOMES SARAIVA,M,10/10/1959,71 dias,3 dias,18 dias,16 reuniões,1 reuniões,9 reuniões,439146.04,36572.34,70842.66,44263.27,65965.82,34723.62,32000.51,62345.58,33068.34,15213.66,42105.16,2045.08,NaN,479271.31999999995,1112738.23,36572.34,70842.66,44263.27,65965.82,34723.62,32000.51,62345.58,33068.34,15213.66,42105.16,2045.08,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204551.jpg
CARLOS CAMILO GÓES CAPIBERIBE,M,23/05/1972,89 dias,3 dias,0 dias,67 reuniões,5 reuniões,20 reuniões,337744.18,57270.81,54545.96,40139.58,50674.76,29912.43,32899.67,36174.05,9998.8,8076.55,18051.57,0.0,NaN,485872.25,1098429.16,57270.81,54545.96,40139.58,50674.76,29912.43,32899.67,36174.05,9998.8,8076.55,18051.57,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204352.jpg
CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,M,03/11/1979,71 dias,5 dias,16 dias,12 reuniões,3 reuniões,14 reuniões,365792.14,30097.59,41252.22,49713.11,49721.69,45749.21,41212.41,38074.0,37034.37,15502.42,17214.1,221.02,NaN,429958.97000000003,1084232.34,30097.59,41252.22,49713.11,49721.69,45749.21,41212.41,38074.0,37034.37,15502.42,17214.1,221.02,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/93083.jpg
NICOLINO BOZZELLA JUNIOR,M,17/08/1980,83 dias,8 dias,1 dias,42 reuniões,5 reuniões,9 reuniões,310135.31,29348.65,39636.09,43735.1,36718.08,40304.87,30143.9,40029.84,26482.22,12562.37,11174.19,0.0,NaN,407768.77,1108661.55,29348.65,39636.09,43735.1,36718.08,40304.87,30143.9,40029.84,26482.22,12562.37,11174.19,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204502.jpg
ALBERTO BARROS CAVALCANTE NETO,M,05/05/1982,88 dias,2 dias,2 dias,66 reuniões,1 reuniões,3 reuniões,240537.12,10761.97,32144.12,50784.42,59974.73,36167.69,18635.29,18846.91,9376.93,3645.06,0.0,200.0,NaN,479969.66000000003,1108460.75,10761.97,32144.12,50784.42,59974.73,36167.69,18635.29,18846.91,9376.93,3645.06,0.0,200.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204572.jpg
WAGNER SOUSA GOMES,M,21/01/1979,31 dias,0 dias,2 dias,0 reuniões,0 reuniões,1 reuniões,141934.34,55521.07,32236.66,11029.18,NaN,NaN,NaN,12950.64,18376.97,6416.85,4739.03,663.94,NaN,297162.39,1112741.02,55521.07,32236.66,11029.18,NaN,NaN,NaN,12950.64,18376.97,6416.85,4739.03,663.94,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204487.jpg
CARLOS GOMES BEZERRA,M,04/11/1941,29 dias,0 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,75129.1,17099.28,53701.17,0.0,NaN,NaN,NaN,2047.03,848.36,647.0,738.75,47.51,NaN,259461.87,1115384.57,17099.28,53701.17,0.0,NaN,NaN,NaN,2047.03,848.36,647.0,738.75,47.51,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/141401.jpg
CARLOS ALBERTO CHIODINI,M,08/03/1982,85 dias,4 dias,3 dias,25 reuniões,6 reuniões,8 reuniões,257915.07,21142.87,33080.35,34458.92,35659.6,28696.29,31410.11,38827.88,16920.33,11149.03,6369.69,200.0,NaN,444155.03,1088228.66,21142.87,33080.35,34458.92,35659.6,28696.29,31410.11,38827.88,16920.33,11149.03,6369.69,200.0,NaN,33763.0,,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204361.jpg
